측정점(g),분동호칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10 g,5 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10 g,5 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10 g,5 g,2 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10 g,5 g,2 g,2 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20 g,2 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20 g,2 g,2 g´,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20 g,5 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20 g,5 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20 g,5 g,2 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20 g,5 g,2 g,2 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20 g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20 g,10 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20 g,10 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20 g,10 g,2 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20 g,10 g,2 g,2 g´,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20 g,10 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20 g,10 g,5 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20 g,10 g,5 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20 g,10 g,5 g,2 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,
